nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
0,0,0,0,31270,0.0,0.0,-17.0,0.0,0.0,0.0,28,0,0,1,-0.977294921875,-0.0009765625,0.032958984375,0.9778510332107544,-0.9465649127960205,0.3435114622116089,-1.1145038604736328,1,95766.0,0.014892578125,26.739999771118164,1,0,4003,1,26000000ffc24c04944c000000000000,0,0x4720
1,0,1,104,61370,0.0,0.0,-17.0,0.0,0.0,0.0,59,0,0,1,-0.980712890625,-0.0068359375,0.024169921875,0.981034517288208,-0.9541984796524048,0.06870228797197342,-1.1297709941864014,1,95765.0,0.061370849609375,26.790000915527344,1,0,4012,1,28000000ff59230485d6000000000000,0,0x1C51
2,0,2,208,91470,0.0,0.0,-17.0,0.0,0.0,0.0,129,0,0,1,-0.97900390625,0.0,0.027587890625,0.9793925285339355,-0.8625954389572144,0.7557252049446106,-1.3587785959243774,1,95768.0,-0.16571044921875,26.829999923706055,1,0,4009,1,2a000000ffa13f048660010000000000,0,0x9B76
3,0,3,312,121570,0.0,0.0,-17.0,0.0,0.0,0.0,159,0,0,1,-0.981201171875,-0.00537109375,0.025146484375,0.9815380573272705,-0.9465649127960205,0.1679389327764511,-1.1679389476776123,1,95775.0,-0.595458984375,26.860000610351562,1,0,3996,1,2b000000ff622604cea8010000000000,0,0xDFCD
4,0,4,416,151670,0.0,0.0,-17.0,0.0,0.0,0.0,229,0,0,1,-0.98291015625,0.005859375,0.022705078125,0.9831898212432861,-1.0076335668563843,0.28244274854660034,-1.2061069011688232,1,95770.0,-0.14971923828125,26.899999618530273,1,0,3996,1,2d000000ffc24c045032020000000000,0,0x4270
5,0,5,520,181770,0.0,0.0,-17.0,0.0,0.0,0.0,259,0,0,1,-0.984130859375,-0.00830078125,0.021484375,0.9844003319740295,-0.847328245639801,0.4351145029067993,-1.0687023401260376,1,95770.0,-0.005279541015625,26.899999618530273,1,0,3996,1,2f000000ffd55304e4bb020000000000,0,0x8288
6,0,6,624,211870,0.0,0.0,-17.0,0.0,0.0,0.0,329,0,0,1,-0.986572265625,-0.003662109375,0.0244140625,0.9868810772895813,-0.9083969593048096,0.3435114622116089,-0.9770992398262024,1,95773.0,-0.189453125,26.950000762939453,1,0,4006,1,30000000ff7f3104b300030000000000,0,0x4FE7
7,0,7,728,241970,0.0,0.0,-17.0,0.0,0.0,0.0,359,0,0,1,-0.97314453125,-0.010009765625,0.01806640625,0.9733636975288391,-0.9618320465087891,0.25190839171409607,-1.1145038604736328,1,95773.0,-0.135986328125,26.969999313354492,1,0,4003,1,32000000ff9c3d04dc8a030000000000,0,0xF1F0
8,0,8,832,272070,0.0,0.0,-17.0,0.0,0.0,0.0,429,0,0,1,-0.976318359375,-0.001708984375,0.020751953125,0.9765403866767883,-0.8702290058135986,0.13740457594394684,-1.122137427330017,1,95771.0,0.061798095703125,26.989999771118164,1,0,4006,1,34000000ffae44049f14040000000000,0,0xB705
9,0,9,936,302170,0.0,0.0,-17.0,0.0,0.0,0.0,459,0,0,1,-0.97802734375,-0.005615234375,0.02392578125,0.9783360958099365,-1.0,0.221374049782753,-1.0992366075515747,1,95774.0,-0.129913330078125,27.0,1,0,4019,1,35000000ffba49048859040000000000,0,0xB27F
10,0,10,1040,332270,0.0,0.0,-17.0,0.0,0.0,0.0,530,0,0,1,-0.978515625,-0.0029296875,0.032470703125,0.9790586233139038,-0.9389312863349915,0.20610687136650085,-1.0610686540603638,1,95773.0,0.010406494140625,26.989999771118164,1,0,4006,1,37000000ff933904eee3040000000000,0,0x62E0
11,0,11,1144,362370,0.0,0.0,-17.0,0.0,0.0,0.0,600,0,0,1,-0.97998046875,-0.00146484375,0.016845703125,0.9801263213157654,-0.9541984796524048,0.35877862572669983,-1.0839694738388062,1,95774.0,-0.107269287109375,26.979999542236328,1,0,4003,1,39000000ffba49040872050000000000,0,0x7FE8
12,0,12,1248,392470,0.0,0.0,-17.0,0.0,0.0,0.0,630,0,0,1,-0.97802734375,-0.002197265625,0.019287109375,0.9782199859619141,-0.847328245639801,0.25190839171409607,-1.122137427330017,1,95774.0,-0.096221923828125,27.010000228881836,1,0,4009,1,3b000000ff752e0495fa050000000000,0,0x2C4E
13,0,13,1352,422570,0.0,0.0,-17.0,0.0,0.0,0.0,700,0,0,1,-0.98193359375,0.00634765625,0.01904296875,0.9821387529373169,-0.9465649127960205,0.4351145029067993,-1.1526718139648438,1,95776.0,-0.187835693359375,27.049999237060547,1,0,4009,1,3c000000ffcc5004e43e060000000000,0,0x8985
14,0,14,1456,452670,0.0,0.0,-17.0,0.0,0.0,0.0,730,0,0,1,-0.978271484375,-0.001220703125,0.018310546875,0.9784435629844666,-1.0534350872039795,0.30534350872039795,-1.267175555229187,1,95772.0,-0.020721435546875,27.049999237060547,1,0,4006,1,3e000000ff843304d6c7060000000000,0,0x6016
15,0,15,1560,482770,0.0,0.0,-17.0,0.0,0.0,0.0,800,0,0,1,-0.97998046875,-0.00390625,0.024169921875,0.9802862405776978,-0.9465649127960205,0.2977099120616913,-1.1908396482467651,1,95773.0,-0.14569091796875,27.079999923706055,1,0,4009,1,40000000ff5923049650070000000000,0,0xFE3C
16,0,16,1664,512870,0.0,0.0,-17.0,0.0,0.0,0.0,830,0,0,1,-0.982421875,-0.00537109375,0.026611328125,0.9827969074249268,-0.9923664331436157,0.35877862572669983,-1.1374045610427856,1,95779.0,-0.374542236328125,27.100000381469727,1,0,3993,1,41000000ff6b2a04fd94070000000000,0,0x55B0
17,0,17,1768,542970,0.0,0.0,-17.0,0.0,0.0,0.0,900,0,0,1,-0.9775390625,0.0029296875,0.02099609375,0.9777688980102539,-0.9618320465087891,0.23664122819900513,-1.2061069011688232,1,95774.0,-0.047882080078125,27.100000381469727,1,0,3990,1,43000000ff4c1e04241e080000000000,0,0x143E
18,0,18,1872,573070,0.0,0.0,-17.0,0.0,0.0,0.0,931,0,0,1,-0.976806640625,0.00732421875,0.0283203125,0.9772445559501648,-0.9847328066825867,0.1679389327764511,-1.0687023401260376,1,95775.0,-0.221771240234375,27.100000381469727,1,0,3993,1,45000000ff5d24041ba7080000000000,0,0x3A92
19,1,0,2048,603170,0.0,0.0,-17.0,0.0,0.0,0.0,1001,0,0,1,-0.98486328125,-0.004638671875,0.0185546875,0.9850489497184753,-1.0,0.3664122223854065,-1.1832060813903809,1,95775.0,-0.1544189453125,27.09000015258789,1,0,3996,1,47000000ff752e041e30090000000000,0,0xFDCE
20,1,1,2152,633270,0.0,0.0,-17.0,0.0,0.0,0.0,22,0,0,1,-0.97998046875,-0.000244140625,0.0283203125,0.9803896546363831,-0.885496199131012,0.18320611119270325,-1.160305380821228,1,95777.0,-0.21484375,27.1299991607666,1,0,4012,1,48000000ff5d2404a574090000000000,0,0x9244
21,1,2,2256,663370,0.0,0.0,-17.0,0.0,0.0,0.0,52,0,0,1,-0.981201171875,-0.002197265625,0.016845703125,0.9813482165336609,-0.9618320465087891,0.28244274854660034,-1.160305380821228,1,95773.0,0.003814697265625,27.170000076293945,1,0,3996,1,4a000000ffa5400424fe090000000000,0,0xC3A0
22,1,3,2360,693470,0.0,0.0,-17.0,0.0,0.0,0.0,122,0,0,1,-0.98046875,0.00244140625,0.027099609375,0.9808462262153625,-0.9465649127960205,0.40458014607429504,-1.0916030406951904,1,95771.0,0.18353271484375,27.200000762939453,1,0,3996,1,4c000000ff5d240459870a0000000000,0,0xB518
23,1,4,2464,723570,0.0,0.0,-17.0,0.0,0.0,0.0,152,0,0,1,-0.977783203125,0.0009765625,0.01513671875,0.9779008626937866,-0.9236640930175781,0.16030533611774445,-1.2977099418640137,1,95772.0,0.17138671875,27.15999984741211,1,0,3996,1,4d000000ff752e040acc0a0000000000,0,0xEFEB
24,1,5,2568,753670,0.0,0.0,-17.0,0.0,0.0,0.0,222,0,0,1,-1.025146484375,0.0908203125,0.413818359375,1.109242558479309,56.25190734863281,19.587785720825195,30.45801544189453,1,95766.0,0.4178466796875,27.100000381469727,1,0,3920,1,4f000000ff542104ae550b0000000000,0,0xA13D
25,1,6,2672,783770,0.0,0.0,-17.0,0.0,0.0,0.0,85638,0,0,1,-0.970947265625,0.12939453125,0.004150390625,0.9795400500297546,-0.9389312863349915,0.442748099565506,-1.0534350872039795,1,95769.0,0.064239501953125,26.84000015258789,1,0,3996,1,51000000ff160804f5de0b0000000000,0,0x60B2
26,1,7,2776,813870,43.865047454833984,-47.541282653808594,10207.0,0.0,0.0,0.0,85708,0,0,1,-0.97265625,0.130615234375,-0.00634765625,0.9814075827598572,-0.8778625726699829,0.30534350872039795,-1.0763359069824219,1,95770.0,-0.2254638671875,26.350000381469727,1,0,3996,1,53000000ff1f0c0469680c0000000000,0,0x82E5
27,1,8,2880,843970,48.08740234375,11.301542282104492,271.0,0.09600000083446503,0.04100000113248825,271.9517517089844,85738,4,3,1,-0.96826171875,0.12646484375,-0.004638671875,0.9764966368675232,-0.8549618124961853,0.30534350872039795,-1.198473334312439,1,95774.0,-0.407440185546875,26.040000915527344,1,0,3984,1,54000000ff1f0c042aad0c0000000000,0,0xDC96
28,1,9,2984,874070,48.087650299072266,11.296274185180664,563.0,0.13500000536441803,-0.10000000149011612,271.9517517089844,85808,5,3,1,-0.9755859375,0.1259765625,-0.003173828125,0.9836910367012024,-0.8167939186096191,0.2977099120616913,-1.1679389476776123,1,95771.0,-0.057220458984375,25.799999237060547,1,0,3993,1,56000000ff09030433370d0000000000,0,0xEA42
29,1,10,3088,904170,48.08766174316406,11.295854568481445,583.0,0.08900000154972076,-0.07000000029802322,271.9517517089844,85838,6,3,1,-0.971435546875,0.127197265625,0.004150390625,0.9797363877296448,-0.7633587718009949,0.25954198837280273,-1.1526718139648438,1,95771.0,0.0048828125,25.729999542236328,1,0,3987,1,58000000ff1d0b04d5c00d0000000000,0,0xD443
30,1,11,3192,934270,48.087646484375,11.295707702636719,586.0,0.777999997138977,-0.1120000034570694,271.9517517089844,85908,6,3,1,-0.9658203125,0.130615234375,0.0,0.9746123552322388,-1.0076335668563843,0.35877862572669983,-1.122137427330017,1,95772.0,-0.06427001953125,25.309999465942383,1,0,3990,1,59000000ff190a04ad050e0000000000,0,0x4D8A
31,1,12,3296,964370,48.087623596191406,11.295703887939453,585.0,0.08799999952316284,-0.09300000220537186,271.9517517089844,85938,6,3,1,-0.97314453125,0.129638671875,0.00341796875,0.9817475080490112,-0.8549618124961853,0.23664122819900513,-1.0076335668563843,1,95773.0,-0.04461669921875,25.200000762939453,1,0,3996,1,5b000000ff0f06040d970e0000000000,0,0x20D8
32,1,13,3400,994470,48.087623596191406,11.295684814453125,584.0,0.15399999916553497,-0.05299999937415123,271.9517517089844,90008,6,3,1,-0.969482421875,0.128662109375,-0.009521484375,0.9780290126800537,-0.9694656729698181,-0.25954198837280273,-1.3358778953552246,1,95776.0,-0.12408447265625,24.969999313354492,1,0,3990,1,5d000000ff0f060438200f0000000000,0,0x1620
33,1,14,3504,1024470,48.087623596191406,11.29570484161377,582.0,0.02800000086426735,-0.06400000303983688,271.9517517089844,90039,6,3,1,-0.96923828125,0.125244140625,-0.00048828125,0.9772968888282776,-0.7862595319747925,0.28244274854660034,-1.0610686540603638,1,95774.0,0.21002197265625,24.649999618530273,1,0,3987,1,5e000000ff120704d6640f0000000000,0,0xE5E0
34,1,15,3608,1054570,48.08761978149414,11.295735359191895,583.0,0.34200000762939453,-0.13899999856948853,271.9517517089844,90109,7,3,1,-0.966796875,0.12744140625,0.002685546875,0.9751639366149902,-0.9847328066825867,0.20610687136650085,-1.0229008197784424,1,95776.0,-0.0111083984375,24.6200008392334,1,0,3974,1,60000000ff2910041dee0f0000000000,0,0x41C5
35,1,16,3712,1084670,48.087467193603516,11.295918464660645,579.0,0.0,0.0,49.344940185546875,90139,0,0,1,-0.976318359375,-0.00244140625,0.0234375,0.9766026735305786,-0.8778625726699829,0.45038166642189026,-1.160305380821228,1,95776.0,0.231781005859375,24.700000762939453,1,0,3971,1,62000000ff070304e277100000000000,0,0x0E44
36,1,17,3816,1114770,48.087467193603516,11.295918464660645,579.0,0.0,0.0,49.344940185546875,90209,0,0,1,-0.974853515625,0.00341796875,0.01806640625,0.9750269055366516,-0.9389312863349915,0.6488549709320068,-1.0610686540603638,1,95780.0,-0.030517578125,24.790000915527344,1,0,3974,1,64000000ff1d0b045201110000000000,0,0x9C42
37,1,18,3920,31377,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90254,0,0,1,-0.98193359375,-0.00048828125,0.021240234375,0.9821634292602539,-0.7709923386573792,0.19847328960895538,-0.9694656729698181,1,95780.0,0.001922607421875,24.899999618530273,1,0,3990,1,00000000000000000000000000000000,0,0x2DFE
38,2,0,4096,61418,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90324,0,0,1,-0.95556640625,0.26416015625,-0.060546875,0.9932540655136108,-5.190839767456055,-2.1984732151031494,2.0152671337127686,1,95777.0,-0.17669677734375,25.020000457763672,1,0,3984,1,00000000000000000000000000000000,0,0x8151
39,2,1,4200,91504,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90355,0,0,1,-0.978515625,-0.002685546875,0.018310546875,0.9786906242370605,-0.9160305261611938,0.23664122819900513,-1.14503812789917,1,95778.0,0.079315185546875,25.079999923706055,1,0,3984,1,00000000000000000000000000000000,0,0x1670
40,2,2,4304,31470,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90634,0,0,1,-0.06982421875,-0.003173828125,-1.031494140625,1.0338594913482666,-1.1145038604736328,0.17557251453399658,-1.2061069011688232,1,95778.0,0.107574462890625,25.09000015258789,1,0,0,1,6500000000000004d779000000000000,0,0xCD7A
41,2,3,4408,61570,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90704,0,0,1,-0.071044921875,0.02001953125,-1.031494140625,1.034131646156311,-0.8167939186096191,-0.07633587718009949,-1.3816794157028198,1,95782.0,-0.308074951171875,25.190000534057617,1,0,0,1,66000000000000049ebe000000000000,0,0xEA58
42,2,4,4512,91570,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90735,0,0,1,-0.081787109375,0.01513671875,-1.038818359375,1.0421428680419922,-0.9694656729698181,0.40458014607429504,-1.0458015203475952,1,95781.0,-0.26458740234375,25.280000686645508,1,0,0,1,68000000000000040f4a010000000000,0,0x708C
43,2,5,4616,31438,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90832,0,0,1,-0.078369140625,0.00634765625,-1.030029296875,1.0330257415771484,-0.9770992398262024,0.2977099120616913,-0.9160305261611938,1,95779.0,-0.05816650390625,25.459999084472656,1,0,0,1,6a000000000000002b78000000000000,1,0x5C97
44,2,6,4720,31457,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,90947,0,0,1,-0.072509765625,0.008056640625,-1.039306640625,1.0418641567230225,-0.9618320465087891,0.16030533611774445,-1.1374045610427856,1,95776.0,0.137664794921875,25.6200008392334,1,0,3993,1,6c000000000000005079000000000000,1,0x5475
45,2,7,4824,61469,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,91017,0,0,1,-0.0712890625,0.010986328125,-1.03125,1.0337694883346558,-0.8625954389572144,0.06106870248913765,-1.1908396482467651,1,95779.0,-0.17364501953125,25.709999084472656,1,0,4009,1,6d000000ff000000c9bf000001000000,1,0xEC6B
46,2,8,4928,91481,48.087608337402344,11.29570198059082,586.0,0.0,0.0,0.0,91047,0,0,1,-0.0498046875,0.011474609375,-1.03271484375,1.0339787006378174,-1.106870174407959,0.28244274854660034,-1.14503812789917,1,95772.0,0.457763671875,25.790000915527344,1,0,3996,1,6f000000000000008449010003000000,1,0x7BBC
