nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
0,0,0,0,38786,0.0,0.0,-17.0,0.0,0.0,0.0,706,0,0,0,-0.986083984375,-0.057861328125,-0.08544921875,0.9914692044258118,-0.2748091518878937,-16.129770278930664,16.893129348754883,1,95685.0,0.67828369140625,27.420000076293945,1,0,3676,1,1c040000ff0602001e6c000000000000,1,0xF6D6
1,0,1,104,68886,0.0,0.0,-17.0,0.0,0.0,0.0,736,0,0,0,-0.795654296875,-0.0439453125,-0.541748046875,0.9635807871818542,-5.427480697631836,-49.16030502319336,-9.534351348876953,1,95690.0,0.041595458984375,27.280000686645508,1,0,3702,1,1e040000ff2f12000ef5000002000000,1,0xF52D
2,0,2,208,98930,0.0,0.0,-17.0,0.0,0.0,0.0,806,0,0,0,-0.682861328125,-0.295654296875,0.167236328125,0.762678861618042,31.770992279052734,21.389312744140625,-2.1908397674560547,1,95684.0,0.46881103515625,27.170000076293945,1,0,3676,1,1f040000ff0000005639010003000000,1,0xD056
3,0,3,312,129030,0.0,0.0,-17.0,0.0,0.0,0.0,836,0,0,0,-0.209228515625,-0.978759765625,0.597412109375,1.1656107902526855,32.213741302490234,-40.33587646484375,21.282442092895508,1,95691.0,-0.34307861328125,27.059999465942383,1,0,3702,1,21040000ff01000027c2010004000000,0,0xBE3B
4,0,4,416,159117,0.0,0.0,-17.0,0.0,0.0,0.0,906,0,0,0,-0.14208984375,-0.056640625,0.96240234375,0.9744824171066284,-1.305343508720398,-5.900763511657715,0.022900763899087906,1,95600.0,6.693359375,27.110000610351562,1,0,3689,1,23040000ff080300f366020006000000,1,0x3C8E
5,0,5,520,189217,0.0,0.0,-17.0,0.0,0.0,0.0,936,0,0,0,1.07666015625,0.610595703125,0.384521484375,1.2961021661758423,-229.5343475341797,11.969465255737305,-122.65648651123047,1,95533.0,12.543365478515625,27.260000228881836,1,0,3676,1,25040000ff180900dbd3020008000000,1,0x1C4A
6,0,6,624,219278,0.0,0.0,-17.0,0.0,0.0,0.0,1006,0,0,0,0.551025390625,-0.1884765625,0.85107421875,1.0312515497207642,6.572519302368164,-7.641221523284912,6.2366414070129395,1,95576.0,8.788665771484375,27.43000030517578,1,0,3712,1,26040000ff0201004a18030009000000,0,0xD9FB
7,0,7,728,249378,0.0,0.0,-17.0,0.0,0.0,0.0,1036,0,0,0,-0.79443359375,-0.06103515625,0.582275390625,0.986860990524292,10.106870651245117,20.427480697631836,-54.85496139526367,1,95682.0,-0.45928955078125,27.520000457763672,1,0,3686,1,28040000ff0401002ea103000b000000,1,0x7A94
8,0,8,832,279434,0.0,0.0,-17.0,0.0,0.0,0.0,1106,0,0,0,-0.835205078125,0.235107421875,0.437744140625,0.9718348383903503,-67.79389190673828,-1.4885495901107788,-3.6259541511535645,1,95687.0,-0.895263671875,27.520000457763672,1,0,3699,1,29040000ff0b0401b1e503000c000000,0,0x852C
9,0,9,936,309534,0.0,0.0,-17.0,0.0,0.0,0.0,1137,0,0,0,-1.008544921875,-0.05810546875,0.037353515625,1.0109076499938965,-16.274808883666992,-18.152671813964844,1.160305380821228,1,95692.0,-1.33123779296875,27.489999771118164,1,0,3686,1,2c040000ff05020001b304000e000000,1,0xB6F9
10,0,10,1040,339587,0.0,0.0,-17.0,0.0,0.0,0.0,1207,0,0,0,0.004150390625,0.9765625,-0.0556640625,0.9781564474105835,-0.39694657921791077,0.694656491279602,-5.687022686004639,1,95687.0,-0.895263671875,27.549999237060547,1,0,3686,1,2d040000ff02010072f704000f000000,0,0x6F95
