elapsed_min,range_km
63.75,47.78191
63.91667,47.79324
64.08333,47.79405
64.25,47.7867
64.41667,47.78379
64.58333,47.80281
64.75,47.8305
64.91667,47.8177
65.08333,47.81811
65.25,47.83992
65.41667,47.85953
65.58333,47.90513
65.75,47.92259
65.91667,47.90575
66.08333,47.88324
66.25,47.86097
66.41667,47.87783
66.58333,47.90956
66.75,47.93511
66.91667,47.946
67.08333,47.96727
67.25,47.98081
67.41667,47.9832
67.58333,47.99104
67.75,47.97216
67.91667,47.9661
68.08333,47.95351
68.25,47.91661
68.41667,47.87408
68.58333,47.81355
68.75,47.77415
68.91667,47.74756
69.08333,47.73207
69.25,47.75408
69.41667,47.75854
69.58333,47.74557
69.75,47.75771
69.91667,47.77422
70.08333,47.7762
70.25,47.75292
70.41667,47.74168
70.58333,47.74938
70.75,47.76614
70.91667,47.78185
71.08333,47.77941
71.25,47.76944
71.41667,47.77155
71.58333,47.76179
71.75,47.74108
71.91667,47.7323
72.08333,47.71269
72.25,47.68774
72.41667,47.65328
72.58333,47.63201
72.75,47.58838
72.91667,47.56
73.08333,47.52996
73.25,47.52178
73.41667,47.51088
73.58333,47.49983
73.75,47.51099
73.91667,47.52423
74.08333,47.56608
74.25,47.57156
74.41667,47.57618
74.58333,47.56887
74.75,47.56592
74.91667,47.56436
75.08333,47.55792
75.25,47.56816
75.41667,47.58774
75.58333,47.61245
75.75,47.63857
75.91667,47.63859
76.08333,47.64015
76.25,47.62154
76.41667,47.58886
76.58333,47.55
76.75,47.52985
76.91667,47.51728
77.08333,47.52563
77.25,47.52378
77.41667,47.49447
77.58333,47.45506
77.75,47.39666
77.91667,47.34083
78.08333,47.28703
78.25,47.23438
78.41667,47.18903
78.58333,47.1446
78.75,47.1185
78.91667,47.0932
79.08333,47.06441
79.25,47.00408
79.41667,46.94786
79.58333,46.8848
79.75,46.81565
79.91667,46.76945
80.08333,46.72682
80.25,46.68001
80.41667,46.63144
80.58333,46.57638
80.75,46.52426
80.91667,46.44916
81.08333,46.39033
81.25,46.3389
81.41667,46.27972
81.58333,46.24124
81.75,46.21175
81.91667,46.17277
82.08333,46.13316
82.25,46.08915
82.41667,46.04685
82.58333,45.97996
82.75,45.9363
82.91667,45.8913
83.08333,45.86134
83.25,45.83847
83.41667,45.80926
83.58333,45.77812
83.75,45.75463
83.91667,45.73297
84.08333,45.71075
84.25,45.68393
84.41667,45.65972
84.58333,45.60757
84.75,45.57685
84.91667,45.52624
85.08333,45.47155
85.25,45.40926
85.41667,45.33579
85.58333,45.28044
85.75,45.21048
85.91667,45.1317
86.08333,45.05103
86.25,44.9781
86.41667,44.92056
86.58333,44.85428
86.75,44.81549
86.91667,44.76654
87.08333,44.72285
87.25,44.70451
87.41667,44.64765
87.58333,44.60238
87.75,44.53364
87.91667,44.48171
88.08333,44.44537
88.25,44.36515
88.41667,44.28697
88.58333,44.19189
88.75,44.11763
88.91667,44.04891
89.08333,44.00286
89.25,43.9371
89.41667,43.87693
89.58333,43.83189
89.75,43.78041
89.91667,43.72649
90.08333,43.67879
90.25,43.61543
90.41667,43.55934
90.58333,43.4949
90.75,43.44531
90.91667,43.38896
91.08333,43.32663
91.25,43.26999
91.41667,43.20828
91.58333,43.16216
91.75,43.10498
91.91667,43.05682
92.08333,43.00489
92.25,42.93895
92.41667,42.86705
92.58333,42.79344
92.75,42.72024
92.91667,42.66375
93.08333,42.59547
93.25,42.52182
93.41667,42.46789
93.58333,42.41297
93.75,42.37094
93.91667,42.32713
94.08333,42.30659
94.25,42.28293
94.41667,42.25231
94.58333,42.23092
94.75,42.21254
94.91667,42.17708
95.08333,42.13803
95.25,42.1011
95.41667,42.07752
95.58333,42.05475
95.75,42.05295
95.91667,42.05129
96.08333,42.03805
96.25,42.01456
96.41667,41.97768
96.58333,41.93956
96.75,41.8957
96.91667,41.8664
97.08333,41.83961
97.25,41.81969
97.41667,41.81779
97.58333,41.80382
97.75,41.80879
97.91667,41.78942
98.08333,41.77882
98.25,41.76519
98.41667,41.76069
98.58333,41.75914
98.75,41.76702
98.91667,41.78768
99.08333,41.82035
99.25,41.8585
99.41667,41.91125
99.58333,41.95366
99.75,41.97539
99.91667,42.02284
100.08333,42.05254
100.25,42.07166
100.41667,42.09572
100.58333,42.12045
100.75,42.12919
100.91667,42.13943
101.08333,42.15836
101.25,42.15854
101.41667,42.14904
101.58333,42.15649
101.75,42.14316
101.91667,42.13993
102.08333,42.12227
102.25,42.10861
102.41667,42.09432
102.58333,42.08576
102.75,42.08725
102.91667,42.08173
103.08333,42.08186
103.25,42.08122
103.41667,42.07742
103.58333,42.09142
103.75,42.09545
103.91667,42.11074
104.08333,42.10361
104.25,42.09913
104.41667,42.086
104.58333,42.07151
104.75,42.06377
104.91667,42.05818
105.08333,42.0614
105.25,42.08064
105.41667,42.0947
105.58333,42.11622
105.75,42.13654
105.91667,42.16201
106.08333,42.18086
106.25,42.10804
106.41667,41.41806
106.58333,40.60407
106.75,39.72414
106.91667,38.92301
107.08333,38.20613
107.25,37.47154
107.41667,36.87849
107.58333,36.14672
107.75,35.57411
107.91667,34.99998
108.08333,34.52684
108.25,34.06037
108.41667,33.542
108.58333,33.13587
108.75,32.67412
108.91667,32.22114
109.08333,31.82759
109.25,31.39428
109.41667,31.092
109.58333,30.72735
109.75,30.42287
109.91667,30.07211
110.08333,29.82418
110.25,29.54118
110.41667,29.18137
110.58333,28.90768
110.75,28.66908
110.91667,28.41866
111.08333,28.18544
111.25,27.891
111.41667,27.66358
111.58333,27.42828
111.75,27.14763
111.91667,26.91642
112.08333,26.69498
112.25,26.4974
112.41667,26.27237
112.58333,26.09138
112.75,25.90157
112.91667,25.70411
113.08333,25.5599
113.25,25.40338
113.41667,25.26
113.58333,25.09484
113.75,24.9288
113.91667,24.82077
