elapsed_min,vertical_up_mps,ground_speed_mps,accel_mag_g,accel_mag_max_g
9.29167,-0.03,0.09,0.982,1.007
9.375,-0.01,0.14,0.979,1
9.45833,0.14,0.22,0.978,1.045
9.54167,-0.05,0.12,0.981,1
9.625,-0.06,0.1,0.982,1.023
9.70833,-0.05,0.08,0.9785,0.994
9.79167,-0.09,0.07,0.979,1.001
9.875,-0.09,0.54,0.996,2.642
9.95833,6.09,4.04,0.9725,1.762
10.04167,4.6,6.53,1.138,1.461
10.125,6.09,5.23,1.0055,1.321
10.20833,4.98,7.06,1.072,1.646
10.29167,5.37,4,1.0465,1.372
10.375,6.01,3.98,1.0965,1.76
10.45833,7.14,3.64,1.0315,1.47
10.54167,7.65,2.15,0.98,1.595
10.625,5.54,4.72,1.24,1.663
10.70833,6.9,4.15,1.0095,1.467
10.79167,5.28,6.11,1.095,1.676
10.875,4,2.54,0.9835,1.463
10.95833,2.51,2.45,1.0705,1.338
11.04167,2.76,2.56,1.011,1.242
11.125,3.81,4.82,1.0405,1.185
11.20833,3.63,4.08,1.025,1.218
11.29167,3.58,3.06,1.0375,1.142
11.375,3.76,4.22,1.021,1.162
11.45833,4.34,2.84,1.033,1.164
11.54167,3.59,4.04,1.0755,1.464
11.625,3.86,3.73,1.0465,1.307
11.70833,2.64,3.94,1.093,1.383
11.79167,4.91,6.72,0.999,1.531
11.875,3.96,5.33,1.218,1.808
11.95833,4.99,5.26,0.963,1.832
12.04167,5.25,3.78,1.113,1.747
12.125,5.73,3.6,1.065,1.431
12.20833,4.8,4.22,1.079,1.34
12.29167,6.42,1.71,1.026,1.213
12.375,5.97,6.01,1.034,1.391
12.45833,5.28,3.5,1.036,1.243
12.54167,5.15,2.82,1.025,1.214
12.625,5.02,4.76,1.059,1.359
12.70833,4.3,3.16,1.1,1.286
12.79167,4.9,5.33,1.018,1.28
12.875,4.36,3.48,1.057,1.299
12.95833,5.24,3.41,1.161,1.668
13.04167,4.79,5.39,1.016,1.604
13.125,4.71,5.65,1.1095,1.532
13.20833,5.88,5.2,0.955,1.493
13.29167,4.44,5.53,1.092,1.402
13.375,4.68,1.5,1.02,1.448
13.45833,5.43,4.27,1.0595,1.55
13.54167,6.63,3.53,1.047,1.552
13.625,6.09,3.39,1.072,1.291
13.70833,7.28,3.71,1.0745,1.487
13.79167,7.68,4.89,1.072,1.726
13.875,6.08,4.16,1.059,1.367
13.95833,7.81,3.36,1.003,1.335
14.04167,5.46,6.48,1.033,1.225
14.125,5.76,3.52,0.997,1.318
14.20833,4.83,5.66,1.08,1.3
14.29167,4.82,5.29,1.024,1.512
14.375,5.88,2.39,1.025,1.332
14.45833,5.68,6.84,1.071,1.474
14.54167,5.52,7.29,1.0745,1.2
14.625,6.57,4.1,0.9855,1.27
14.70833,6.47,6.14,1.022,1.16
14.79167,4.68,5.06,1.0375,1.213
14.875,6.77,4.73,1.0125,1.249
14.95833,6.43,7.84,1.0505,1.268
15.04167,5.47,4.51,0.985,1.287
15.125,5.35,8.55,0.994,1.127
15.20833,4.84,5.25,1.014,1.14
15.29167,5.95,8.59,1.07,1.301
15.375,5.17,8.69,1.051,1.32
