elapsed_min,gps_alt_km,baro_alt_km,phase
16.70833,2.761,2.09436,2
16.79167,2.794,2.12427,2
16.875,2.827,2.15383,2
16.95833,2.857,2.18413,2
17.04167,2.891,2.21671,2
17.125,2.922,2.24383,2
17.20833,2.951,2.27239,2
17.29167,2.975,2.29566,2
17.375,3.003,2.32431,2
17.45833,3.035,2.34931,2
17.54167,3.063,2.37514,2
17.625,3.094,2.40038,2
17.70833,3.12,2.43001,2
17.79167,3.148,2.45584,2
17.875,3.17,2.48117,2
17.95833,3.192,2.50858,2
18.04167,3.222,2.53552,2
18.125,3.253,2.56444,2
18.20833,3.289,2.59436,2
18.29167,3.313,2.62141,2
18.375,3.342,2.64843,2
18.45833,3.375,2.67502,2
18.54167,3.405,2.7011,2
18.625,3.433,2.72651,2
18.70833,3.462,2.75866,2
18.79167,3.493,2.78618,2
18.875,3.521,2.81413,2
18.95833,3.548,2.84153,2
19.04167,3.576,2.86887,2
19.125,3.607,2.89788,2
19.20833,3.638,2.92428,2
19.29167,3.67,2.95311,2
19.375,3.692,2.97731,2
19.45833,3.718,3.00429,2
19.54167,3.746,3.03299,2
19.625,3.775,3.05764,2
19.70833,3.803,3.08674,2
19.79167,3.831,3.11021,2
19.875,3.86,3.13804,2
19.95833,3.891,3.16332,2
20.04167,3.921,3.18842,2
20.125,3.949,3.21684,2
20.20833,3.974,3.24136,2
20.29167,4.003,3.26775,2
20.375,4.026,3.28803,2
20.45833,4.054,3.3165,2
20.54167,4.078,3.34018,2
20.625,4.101,3.36073,2
20.70833,4.126,3.38574,2
20.79167,4.152,3.4118,2
20.875,4.177,3.43794,2
20.95833,4.201,3.46019,2
21.04167,4.221,3.48198,2
21.125,4.251,3.5103,2
21.20833,4.278,3.53404,2
21.29167,4.304,3.55807,2
21.375,4.332,3.58279,2
21.45833,4.357,3.60494,2
21.54167,4.39,3.6325,2
21.625,4.414,3.65407,2
21.70833,4.44,3.68012,2
21.79167,4.466,3.70548,2
21.875,4.496,3.73295,2
21.95833,4.523,3.75629,2
22.04167,4.547,3.78404,2
22.125,4.575,3.80955,2
22.20833,4.606,3.83913,2
22.29167,4.629,3.8648,2
22.375,4.658,3.88898,2
22.45833,4.685,3.91647,2
22.54167,4.717,3.94274,2
22.625,4.747,3.97352,2
22.70833,4.779,3.9993,2
22.79167,4.806,4.02711,2
22.875,4.836,4.06002,2
22.95833,4.867,4.08485,2
23.04167,4.902,4.11146,2
23.125,4.934,4.14321,2
23.20833,4.959,4.16999,2
23.29167,4.988,4.19872,2
23.375,5.016,4.23023,2
23.45833,5.045,4.2613,2
23.54167,5.075,4.28985,2
23.625,5.106,4.31834,2
23.70833,5.139,4.34808,2
23.79167,5.177,4.38024,2
23.875,5.217,4.41004,2
23.95833,5.248,4.4398,2
24.04167,5.278,4.47158,2
24.125,5.311,4.50314,2
24.20833,5.343,4.53299,2
24.29167,5.371,4.56523,2
24.375,5.405,4.59536,2
24.45833,5.438,4.62558,2
24.54167,5.467,4.65309,2
24.625,5.501,4.68196,2
24.70833,5.534,4.70992,2
24.79167,5.565,4.73974,2
24.875,5.594,4.77066,2
24.95833,5.627,4.80346,2
25.04167,5.654,4.83094,2
25.125,5.684,4.85922,2
25.20833,5.717,4.89234,2
25.29167,5.748,4.92327,2
25.375,5.78,4.95561,2
25.45833,5.815,4.9853,2
25.54167,5.848,5.01567,2
25.625,5.876,5.04305,2
25.70833,5.906,5.07038,2
25.79167,5.936,5.09808,2
25.875,5.966,5.12557,2
25.95833,6.005,5.15827,2
26.04167,6.039,5.19004,2
26.125,6.072,5.21631,2
26.20833,6.097,5.24679,2
26.29167,6.124,5.27992,2
26.375,6.153,5.30842,2
26.45833,6.183,5.33444,2
26.54167,6.214,5.36432,2
26.625,6.249,5.3969,2
26.70833,6.275,5.42042,2
26.79167,6.308,5.4463,2
26.875,6.336,5.47717,2
26.95833,6.368,5.508,2
