elapsed_min
10.65547
14.10243
22.59967
23.32593
24.88365
25.76468
26.26275
26.94923
28.15687
29.35583
29.45713
29.9728
30.31613
30.91893
31.7827
32.13227
33.16253
33.25108
33.89508
34.06897
34.4202
34.59203
34.76575
34.9375
35.45202
37.16822
37.6867
37.94627
44.42162
44.74532
45.10013
47.68522
49.06168
50.44292
52.15947
52.33108
53.5506
54.92783
55.10188
55.45358
55.9689
56.1403
56.31218
160.39582
161.16077
162.33055
164.95888
165.82842
166.1716
166.34312
166.6862
167.03003
167.20202
167.28048
167.32552
167.37332
167.77882
168.40385
168.92392
169.61878
169.79032
170.43033
