elapsed_min,latitude_deg,longitude_deg,altitude_km,map_x,map_y
135.25,47.8820928,11.6730944,3.444,1090.406937,-712.9156167
135.41667,47.8815264,11.674284,3.367,1090.4137045,-712.9204212
135.58333,47.881352,11.6753424,3.287,1090.4197257,-712.9219005
135.75,47.8811456,11.6764752,3.206,1090.42617,-712.9236513
135.91667,47.8809056,11.6777528,3.122,1090.4334382,-712.9256871
136.08333,47.880704,11.6788544,3.0465,1090.439705,-712.9273971
136.25,47.8803104,11.6801672,2.969,1090.4471734,-712.9307357
136.41667,47.8802368,11.6813376,2.9,1090.4538317,-712.93136
136.58333,47.8802112,11.682732,2.811,1090.4617643,-712.9315772
136.75,47.8801664,11.68426,2.73,1090.4704569,-712.9319572
136.91667,47.880256,11.6859592,2.654,1090.4801234,-712.9311972
137.08333,47.8802976,11.6873752,2.574,1090.4881789,-712.9308443
137.25,47.8802304,11.6887208,2.502,1090.4958339,-712.9314143
137.41667,47.8804832,11.6903696,2.424,1090.5052137,-712.92927
137.58333,47.8803488,11.6918488,2.348,1090.5136287,-712.93041
137.75,47.8802928,11.6932636,2.265,1090.5216774,-712.930885
137.91667,47.8799936,11.6941608,2.188,1090.5267814,-712.9334229
138.08333,47.8797696,11.6948368,2.127,1090.5306271,-712.9353229
138.25,47.8796096,11.695616,2.063,1090.5350599,-712.9366801
138.41667,47.8794464,11.6962696,2.001,1090.5387782,-712.9380643
138.58333,47.879168,11.6969272,1.928,1090.5425192,-712.9404258
138.75,47.8789536,11.6971056,1.854,1090.5435341,-712.9422443
138.91667,47.8789472,11.6973088,1.791,1090.5446901,-712.9422986
139.08333,47.8786624,11.6973896,1.725,1090.5451497,-712.9447143
139.25,47.8786592,11.69738,1.67,1090.5450951,-712.9447414
139.41667,47.8786784,11.6973608,1.608,1090.5449859,-712.9445786
139.58333,47.8786432,11.6973304,1.548,1090.5448129,-712.9448771
139.75,47.8786048,11.6972048,1.491,1090.5440984,-712.9452028
139.91667,47.8785792,11.6966608,1.445,1090.5410037,-712.94542
140.08333,47.8786784,11.6963192,1.399,1090.5390603,-712.9445786
140.25,47.8787424,11.6958048,1.345,1090.536134,-712.9440357
140.41667,47.8788224,11.6953536,1.294,1090.5335671,-712.9433572
140.58333,47.8790016,11.6949128,1.23,1090.5310595,-712.9418372
140.75,47.8790976,11.6945464,1.176,1090.5289751,-712.9410229
140.91667,47.8792384,11.6940756,1.133,1090.5262967,-712.9398286
141.08333,47.8792768,11.693776,1.086,1090.5245924,-712.9395029
141.25,47.8793216,11.6934856,1.044,1090.5229403,-712.9391229
141.41667,47.8794896,11.6931816,0.9965,1090.5212109,-712.9376979
141.58333,47.8795904,11.6929296,0.958,1090.5197773,-712.9368429
141.75,47.8796416,11.6927044,0.912,1090.5184961,-712.9364086
141.91667,47.8796768,11.6926032,0.868,1090.5179204,-712.9361101
142.08333,47.8796704,11.692444,0.834,1090.5170148,-712.9361644
142.25,47.8796448,11.692316,0.778,1090.5162866,-712.9363815
142.41667,47.8796384,11.6921264,0.723,1090.515208,-712.9364358
142.58333,47.8796768,11.6921896,0.691,1090.5155675,-712.9361101
142.75,47.8796736,11.6921856,0.692,1090.5155447,-712.9361372
142.91667,47.8796704,11.6921776,0.692,1090.5154992,-712.9361644
143.08333,47.8796704,11.6921628,0.693,1090.515415,-712.9361644
143.25,47.8796576,11.6921688,0.693,1090.5154492,-712.9362729
143.41667,47.8796512,11.69218,0.692,1090.5155129,-712.9363272
143.58333,47.8796448,11.6921816,0.692,1090.515522,-712.9363815
143.75,47.8796448,11.6921776,0.693,1090.5154992,-712.9363815
143.91667,47.8796544,11.69218,0.693,1090.5155129,-712.9363001
144.08333,47.8796576,11.6921768,0.693,1090.5154947,-712.9362729
144.25,47.8796576,11.6921704,0.692,1090.5154583,-712.9362729
144.41667,47.8796608,11.692168,0.692,1090.5154446,-712.9362458
144.58333,47.8796608,11.6921664,0.691,1090.5154355,-712.9362458
144.75,47.8796512,11.6921568,0.69,1090.5153809,-712.9363272
144.91667,47.8796288,11.6921584,0.687,1090.51539,-712.9365172
145.08333,47.8796288,11.6921776,0.685,1090.5154992,-712.9365172
145.25,47.8796576,11.692168,0.689,1090.5154446,-712.9362729
145.41667,47.8796192,11.69216,0.686,1090.5153991,-712.9365986
145.58333,47.8796352,11.6921568,0.688,1090.5153809,-712.9364629
145.75,47.8796416,11.6921568,0.69,1090.5153809,-712.9364086
145.91667,47.8796512,11.6921568,0.691,1090.5153809,-712.9363272
146.08333,47.8796544,11.6921568,0.691,1090.5153809,-712.9363001
146.25,47.8796576,11.6921608,0.692,1090.5154037,-712.9362729
146.41667,47.8796608,11.6921624,0.693,1090.5154128,-712.9362458
146.58333,47.879664,11.6921648,0.692,1090.5154264,-712.9362186
146.75,47.8796704,11.6921672,0.693,1090.5154401,-712.9361644
146.91667,47.8796704,11.692168,0.693,1090.5154446,-712.9361644
147.08333,47.8796992,11.692148,0.695,1090.5153308,-712.9359201
147.25,47.8796464,11.6921404,0.697,1090.5152876,-712.9363679
147.41667,47.8796704,11.6921416,0.693,1090.5152944,-712.9361644
147.58333,47.8796704,11.6921432,0.693,1090.5153035,-712.9361644
147.75,47.8796736,11.6921472,0.692,1090.5153263,-712.9361372
147.91667,47.8796768,11.6921536,0.692,1090.5153627,-712.9361101
148.08333,47.8796736,11.6921584,0.693,1090.51539,-712.9361372
148.25,47.8796704,11.6921648,0.692,1090.5154264,-712.9361644
148.41667,47.879664,11.6921672,0.692,1090.5154401,-712.9362186
148.58333,47.8796704,11.692168,0.691,1090.5154446,-712.9361644
148.75,47.8796736,11.692168,0.691,1090.5154446,-712.9361372
148.91667,47.8796768,11.6921672,0.692,1090.5154401,-712.9361101
149.08333,47.8796768,11.6921664,0.692,1090.5154355,-712.9361101
149.25,47.8796768,11.6921656,0.691,1090.515431,-712.9361101
149.41667,47.8796736,11.6921648,0.692,1090.5154264,-712.9361372
149.58333,47.8796768,11.6921664,0.692,1090.5154355,-712.9361101
149.75,47.8796768,11.6921648,0.692,1090.5154264,-712.9361101
149.91667,47.8796736,11.6921568,0.693,1090.5153809,-712.9361372
150.08333,47.879664,11.692152,0.694,1090.5153536,-712.9362186
150.25,47.879664,11.6921564,0.694,1090.5153786,-712.9362186
150.41667,47.879664,11.6921568,0.694,1090.5153809,-712.9362186
150.58333,47.8796704,11.6921576,0.694,1090.5153855,-712.9361644
150.75,47.8796704,11.6921576,0.694,1090.5153855,-712.9361644
150.91667,47.8796704,11.692158,0.693,1090.5153877,-712.9361644
151.08333,47.8796736,11.6921576,0.692,1090.5153855,-712.9361372
151.25,47.8796736,11.69216,0.692,1090.5153991,-712.9361372
151.41667,47.8796768,11.6921624,0.692,1090.5154128,-712.9361101
151.58333,47.8796768,11.6921624,0.692,1090.5154128,-712.9361101
151.75,47.8796768,11.6921616,0.693,1090.5154082,-712.9361101
151.91667,47.8796768,11.6921608,0.693,1090.5154037,-712.9361101
152.08333,47.8796768,11.6921608,0.693,1090.5154037,-712.9361101
152.25,47.8796768,11.69216,0.693,1090.5153991,-712.9361101
152.41667,47.8796736,11.6921624,0.694,1090.5154128,-712.9361372
152.58333,47.8796768,11.692176,0.695,1090.5154901,-712.9361101
152.75,47.8796736,11.6921736,0.695,1090.5154765,-712.9361372
152.91667,47.8796768,11.692172,0.695,1090.5154674,-712.9361101
153.08333,47.8796768,11.6921696,0.694,1090.5154537,-712.9361101
153.25,47.87968,11.692168,0.693,1090.5154446,-712.9360829
153.41667,47.87968,11.6921656,0.692,1090.515431,-712.9360829
153.58333,47.8796832,11.6921624,0.692,1090.5154128,-712.9360558
153.75,47.8796832,11.69216,0.692,1090.5153991,-712.9360558
153.91667,47.8796896,11.69216,0.692,1090.5153991,-712.9360015
154.08333,47.8796832,11.6921608,0.692,1090.5154037,-712.9360558
154.25,47.8796832,11.69216,0.693,1090.5153991,-712.9360558
154.41667,47.87968,11.69216,0.693,1090.5153991,-712.9360829
154.58333,47.87968,11.69216,0.692,1090.5153991,-712.9360829
154.75,47.8796768,11.6921608,0.692,1090.5154037,-712.9361101
154.91667,47.8796736,11.6921608,0.692,1090.5154037,-712.9361372
155.08333,47.8796736,11.6921608,0.692,1090.5154037,-712.9361372
155.25,47.87968,11.6921584,0.692,1090.51539,-712.9360829
155.41667,47.8796784,11.6921672,0.693,1090.5154401,-712.9360965
155.58333,47.8796768,11.6921672,0.693,1090.5154401,-712.9361101
155.75,47.8796704,11.6921664,0.693,1090.5154355,-712.9361644
155.91667,47.8796704,11.6921648,0.693,1090.5154264,-712.9361644
