elapsed_min,rssi_dbm,snr_db,sequence,lost_packets
28.67865,-109,-7.75,538,0
29.02457,-107,3,540,1
29.19615,-110,-3,541,0
29.62877,-109,-6.5,544,2
30.14468,-109,-9.5,547,2
30.40457,-110,-6,549,1
31.26438,-108,-6.75,554,4
31.43615,-108,-5.5,555,0
31.61152,-111,-8,556,0
31.9609,-110,-7.25,558,1
32.30425,-111,-3,560,1
40.01217,-117,-6.25,607,46
50.61483,-119,-8.75,670,62
50.95802,-116,-5.25,672,1
51.30175,-115,-0.75,674,1
51.47317,-118,-7.25,675,0
51.81705,-120,-4,677,1
51.9881,-120,-4,678,0
52.50273,-116,-7.5,681,2
52.84645,-118,-2,683,1
53.19338,-119,-7.5,685,1
53.368,-119,-4.75,686,0
55.6254,-118,-3,699,12
55.7975,-111,-6.75,700,0
56.48437,-118,-9.5,704,3
