elapsed_min,battery_v,battery_min_v,battery_max_v,coral_fault
5.61667,3.948,3.936,3.958,0
5.65,3.942,3.891,3.958,0
5.68333,3.942,3.929,3.955,0
5.71667,3.942,3.926,3.955,0
5.75,3.9435,3.916,3.961,0
5.78333,3.945,3.923,3.955,0
5.81667,3.945,3.894,3.955,0
5.85,3.952,3.932,3.955,0
5.88333,3.95,3.936,3.958,0
5.91667,3.945,3.929,3.955,0
5.95,3.942,3.926,3.955,0
5.98333,3.942,3.939,3.942,0
6.11667,3.945,3.936,3.958,0
6.15,3.945,3.894,3.958,0
6.18333,3.942,3.932,3.958,0
6.21667,3.945,3.926,3.955,0
6.25,3.942,3.929,3.955,0
6.28333,3.945,3.916,3.955,0
6.31667,3.9465,3.878,3.955,0
6.35,3.945,3.926,3.958,0
6.38333,3.945,3.929,3.955,0
6.41667,3.948,3.932,3.955,0
6.45,3.945,3.929,3.958,0
6.48333,3.9465,3.888,3.955,0
6.51667,3.942,3.913,3.958,0
6.55,3.942,3.929,3.955,0
6.58333,3.948,3.932,3.958,0
6.61667,3.952,3.92,3.961,0
6.65,3.945,3.936,3.958,0
6.68333,3.9465,3.904,3.958,0
6.71667,3.9435,3.936,3.955,0
6.75,3.9435,3.936,3.955,0
6.78333,3.945,3.939,3.955,0
6.81667,3.942,3.929,3.958,0
6.85,3.9435,3.888,3.955,0
6.88333,3.9485,3.926,3.958,0
6.91667,3.945,3.926,3.961,0
6.95,3.945,3.929,3.955,0
6.98333,3.945,3.929,3.958,0
7.01667,3.945,3.897,3.955,0
7.05,3.945,3.929,3.958,1
7.08333,3.942,3.926,3.961,1
7.11667,3.9405,3.923,3.958,1
7.15,3.95,3.929,3.968,1
7.18333,3.948,3.881,3.958,1
7.21667,3.945,3.916,3.955,1
7.25,3.942,3.936,3.955,0
7.28333,3.945,3.936,3.955,0
7.31667,3.945,3.936,3.955,0
7.35,3.945,3.878,3.955,0
7.38333,3.942,3.929,3.958,0
7.41667,3.945,3.916,3.958,0
7.45,3.952,3.929,3.964,0
7.48333,3.948,3.929,3.955,0
7.51667,3.945,3.936,3.958,0
7.55,3.942,3.904,3.952,0
7.58333,3.945,3.939,3.955,0
7.61667,3.945,3.929,3.958,0
7.65,3.942,3.929,3.955,0
7.68333,3.9405,3.923,3.977,0
7.71667,3.942,3.891,3.958,0
7.75,3.945,3.923,3.961,0
7.78333,3.945,3.916,3.961,0
7.81667,3.942,3.929,3.958,0
7.85,3.945,3.932,3.955,0
7.88333,3.942,3.894,3.955,0
7.91667,3.942,3.932,3.958,0
7.95,3.942,3.926,3.955,0
7.98333,3.939,3.929,3.955,0
8.01667,3.945,3.929,3.961,0
8.05,3.934,3.881,3.984,0
8.08333,3.942,3.932,3.955,0
8.11667,3.945,3.932,3.955,0
8.15,3.945,3.932,3.958,0
8.18333,3.942,3.932,3.955,0
8.21667,3.942,3.878,3.955,0
8.25,3.942,3.904,3.955,0
8.28333,3.948,3.929,3.955,0
8.31667,3.945,3.923,3.958,0
8.35,3.945,3.929,3.961,0
8.38333,3.942,3.878,3.955,0
8.41667,3.942,3.929,3.955,0
8.45,3.945,3.926,3.958,0
8.48333,3.9465,3.939,3.955,0
8.51667,3.936,3.926,3.952,0
8.55,3.942,3.891,3.955,0
8.58333,3.945,3.926,3.961,0
8.61667,3.9485,3.929,3.961,0
8.65,3.942,3.92,3.955,0
8.68333,3.9435,3.932,3.955,0
8.71667,3.945,3.936,3.958,0
8.75,3.942,3.894,3.955,0
8.78333,3.945,3.926,3.955,0
8.81667,3.939,3.92,3.958,0
8.85,3.9435,3.929,3.955,0
8.88333,3.945,3.916,3.961,0
8.91667,3.942,3.888,3.964,0
8.95,3.945,3.936,3.955,0
8.98333,3.945,3.932,3.955,0
9.01667,3.942,3.932,3.955,0
9.05,3.9435,3.929,3.958,0
9.08333,3.942,3.894,3.955,0
9.11667,3.939,3.907,3.948,0
9.15,3.948,3.929,3.958,0
9.18333,3.9435,3.779,3.955,0
9.21667,3.942,3.929,3.952,0
9.25,3.942,3.891,3.955,0
9.28333,3.942,3.891,3.955,0
9.31667,3.942,3.929,3.955,0
9.35,3.942,3.936,3.955,0
9.38333,3.942,3.923,3.955,0
9.41667,3.9405,3.929,3.952,0
9.45,3.9435,3.891,3.955,0
9.48333,3.9435,3.916,3.955,0
9.51667,3.942,3.932,3.955,0
9.55,3.942,3.929,3.955,0
9.58333,3.942,3.932,3.948,0
9.61667,3.9435,3.904,3.955,0
9.65,3.942,3.939,3.955,0
9.68333,3.934,3.92,3.952,0
9.71667,3.9435,3.929,3.958,0
9.75,3.942,3.923,3.955,0
9.78333,3.942,3.894,3.958,0
9.81667,3.942,3.907,3.955,0
9.85,3.942,3.932,3.955,0
9.88333,3.942,3.932,3.958,0
9.91667,3.9435,3.932,3.955,0
9.95,3.942,3.868,3.955,0
9.98333,3.942,3.92,3.955,0
10.01667,3.945,3.923,3.961,0
10.05,3.9465,3.904,3.958,0
10.08333,3.9465,3.926,3.955,0
10.11667,3.942,3.884,3.955,0
10.15,3.942,3.9,3.952,0
10.18333,3.945,3.929,3.955,0
10.21667,3.9435,3.929,3.955,0
10.25,3.9405,3.913,3.952,0
10.28333,3.9435,3.923,3.955,0
10.31667,3.945,3.888,3.958,0
10.35,3.945,3.923,3.958,0
10.38333,3.942,3.929,3.958,0
10.41667,3.945,3.932,3.958,0
10.45,3.945,3.936,3.961,0
10.48333,3.942,3.904,3.955,0
10.51667,3.942,3.923,3.958,0
10.55,3.936,3.904,3.958,0
10.58333,3.9435,3.907,3.955,0
10.61667,3.945,3.916,3.974,0
10.65,3.9405,3.878,3.958,0
10.68333,3.9465,3.929,3.958,0
10.71667,3.942,3.929,3.958,0
10.75,3.942,3.92,3.952,0
10.78333,3.942,3.929,3.952,0
10.81667,3.939,3.92,3.955,0
10.85,3.942,3.907,3.955,0
10.88333,3.9465,3.916,3.964,0
10.91667,3.942,3.916,3.955,0
