pc_receive_time_iso,pc_receive_time_unix,lora_downlink_rssi_dbm,lora_downlink_snr_db,lora_crc_error,telemetry_valid,packet_type,protocol_version,packet_type_ok,protocol_version_ok,length_ok,crc_ok,received_crc16,calculated_crc16,sequence_number,sequence_session_reset,lost_packets_since_previous,total_lost_packets,is_duplicate_packet,consecutive_duplicate_packets,total_duplicate_packets,utc_timestamp,obc_uptime_ms,sample_age_ms,gnss_utc_sod,flight_state,flight_state_name,status_flags_raw,GNSS_FIX_VALID,GNSS_TIME_VALID,IMU_VALID,BARO_VALID,BARO_RANGE_VALID,BATTERY_VALID,CORAL_VALID,CORAL_NEW,SD_LOGGING_OK,LAST_LORA_TX_OK,COMMAND_RX_SINCE_LAST,OBC_TIME_FALLBACK,GPS_ERROR,IMU_ERROR,BARO_ERROR,SD_ERROR,battery_mv,battery_v,gnss_fix_type,gnss_satellites_used,latitude_deg,longitude_deg,gnss_altitude_m,ground_speed_ms,vertical_speed_ms,course_deg,latitude_e7,longitude_e7,gnss_altitude_dm,vertical_speed_cms,ground_speed_cms,course_cdeg,baro_pressure_pa,baro_temperature_c,baro_altitude_m,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_ddeg_s,gyro_y_ddeg_s,gyro_z_ddeg_s,baro_altitude_dm,baro_temperature_cdeg,reset_cause_raw,PIN_RESET,BOR_RESET,SOFTWARE_RESET,IWDG_RESET,WWDG_RESET,LOW_POWER_RESET,OPTION_BYTE_RESET,FIREWALL_RESET,boot_count,sd_error_counter,gnss_fix_valid_raw,gps_valid_raw,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid_raw,baro_valid_raw,i2c_bus_state_raw,batt_valid_raw,coral_valid_raw,scv_mission_elapsed_ms,scv_equipment_enabled,scv_equipment_enabled_decoded,scv_equipment_faults,scv_equipment_faults_decoded,scv_sd_fault_count,scv_watchdog_reset_count,reset_reason_name,uplink_last_status,uplink_last_status_name,uplink_last_command_id,uplink_last_ack_status,uplink_last_ack_status_name,lora_last_event,lora_last_event_name,lora_consecutive_failures,lora_recovery_count,lora_rx_mode_active,lora_last_rx_status,lora_last_rx_status_name,lora_ack_timeout_count,lora_tx_fault_count,coral_status,coral_result_age_s,coral_sequence_low,coral_fraction_q16,coral_fraction_percent,coral_payload_text,coral_payload_hex
2026-07-28T15:09:23.749200+00:00,1785251363.7492,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:10:09.646336+00:00,1785251409.646336,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:11:19.833629+00:00,1785251479.833629,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:13:36.962823+00:00,1785251616.962823,-121,-8.0,False,True,1,8,True,True,True,True,0x401A,0x401A,128,False,0,0,False,0,0,54817,1327000,39,54817,5,LANDING,31,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3737,3.737,3,19,47.8795013,11.692214,693.0,0.29,-0.16,45.78,478795013,116922140,6930,-16,29,4578,94337.0,21.92,117.0,0.5687857,-1.85345685,-10.071429549999998,-0.013962634015954637,0.008726646259971648,-0.019198621771937627,58,-189,-1027,-8,5,-11,1170,2192,1,False,False,False,False,False,False,False,False,6,0,1,1,0.058,-0.189,-1.027,1.0458556305724036,-0.8,0.5,-1.1,1,1,0,1,1,9244000,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,0,NONE,13,ACK_TIMEOUT,0,0,1,1,ACTIVE,128,0,0,8,1000,5375,8.201724269474326,seq=1000 cloud=8.20% status=0x00,e8 03 ff 14 00 08 00
2026-07-28T15:13:57.533681+00:00,1785251637.533681,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:14:08.151634+00:00,1785251648.151634,-121,-12.0,False,True,1,8,True,True,True,True,0xDFE6,0xDFE6,131,False,2,2,False,0,0,54848,1359000,314,54848,5,LANDING,31,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3737,3.737,3,20,47.8795013,11.6922159,692.0,0.1,-0.09,19.34,478795013,116922159,6920,-9,10,1934,94338.0,22.09,116.9,0.5491724,-1.77500365,-10.110656149999999,-0.019198621771937627,0.006981317007977318,-0.019198621771937627,56,-181,-1031,-11,4,-11,1169,2209,1,False,False,False,False,False,False,False,False,6,0,1,1,0.056,-0.181,-1.031,1.0482642796547061,-1.1,0.4,-1.1,1,1,0,1,1,9244000,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,0,NONE,13,ACK_TIMEOUT,0,0,1,1,ACTIVE,131,0,0,5,1002,2815,4.295414663920043,seq=1002 cloud=4.30% status=0x00,ea 03 ff 0a 00 05 00
2026-07-28T15:14:18.831241+00:00,1785251658.831241,-120,-6.25,False,True,1,8,True,True,True,True,0x3D65,0x3D65,132,False,0,2,False,0,0,54858,1369000,319,54858,5,LANDING,31,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3734,3.734,3,19,47.879509,11.6921968,695.0,0.05,0.06,19.34,478795090,116921968,6950,6,5,1934,94341.0,22.15,116.7,0.63743225,-1.8436502,-10.051816249999998,-0.017453292519943295,0.005235987755982988,-0.020943951023931952,65,-188,-1025,-10,3,-12,1167,2215,1,False,False,False,False,False,False,False,False,6,0,1,1,0.065,-0.188,-1.025,1.0441235559070583,-1.0,0.3,-1.2,1,1,0,1,1,9304000,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,131,0,0,16,1002,2815,4.295414663920043,seq=1002 cloud=4.30% status=0x00,ea 03 ff 0a 00 10 00
2026-07-28T15:14:49.705794+00:00,1785251689.705794,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:15:10.296583+00:00,1785251710.296583,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:15:20.587612+00:00,1785251720.587612,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28T15:15:41.177131+00:00,1785251741.177131,,,True,False,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
